Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1884,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-11.5,-15.6,999.9
1885,-33.7,-20,-9.6,-6.3,1,12,14.1,11.8,7.3,-4.7,-17.8,-17.5,-5.3
1886,-20,-20.9,-16,-4.4,0.2,6.8,20.2,14,9.1,-4.9,-15,-11.6,-3.5
1887,-21.3,-16.5,-11.9,-4.4,1.4,16,19,13.4,7.4,-4.1,-13,-23.5,-3.1
1888,-22.7,-22.5,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-13.4,-28.5,999.9
1889,-21.7,-17.1,-13,-1.2,2,11.1,16,15.2,9.1,-7.1,-16.6,-20.3,-3.6
1890,-24,-20.4,-14.5,-6.5,-5.2,10.4,17.7,13.4,6.2,2.5,-25.6,-20.6,-5.6
1891,-25,-17.6,-9.7,-10.5,0.2,9.7,14.1,12.4,5.6,-7.9,-18.5,-22.6,-5.8
1892,-21.1,-22.2,-12.2,-7.5,6.1,13.9,18.8,16.7,8,-0.5,-15.1,-23.5,-3.2
1893,-29.4,-18.8,-5.9,0.9,3,10.3,16.1,12.3,9.1,-0.9,-9.3,-23.7,-3
1894,-22.9,-13.9,-12.6,-10.8,3.3,10.9,17.1,16.3,8.1,-1.2,-19.4,-20.4,-3.8
1895,-26.2,-29.9,-8.5,-8.6,1.5,11,18.4,13.7,9,1.1,-11.1,-21.1,-4.2
1896,-24.1,-19.1,-13,-6.9,8.4,12.7,17.2,14.9,7.4,1.5,-17.4,-21.4,-3.3
1897,-24.1,-20,-13.8,-5.8,5.8,14.6,16.8,13.5,8.5,-3,-13,-21.6,-3.5
1898,-17.2,-24.7,-20.8,-6.3,0.2,12.8,19,13.7,9.3,-5,-14,-15.2,-4
1899,-18.5,-18.8,-13.3,-2.1,1.9,12.5,13.3,15,8.2,3.6,-3.7,-21.2,-1.9
1900,-28.6,-20.3,-9.5,-4.6,7.8,14.1,18.3,15.2,7.3,1.4,-12.8,-17.4,-2.4
1901,-27,-14.3,-9.8,-3.8,4.2,11.3,16.4,11.9,4,-3.1,-12.2,-24.2,-3.9
1902,-22.7,-17.8,-19.2,-6.5,1.2,10.3,19.8,13.7,8,-7.8,-24,-27.5,-6
1903,-24.9,-13.1,-12.9,-4.1,2.9,9.4,15.7,13.4,7.8,-3.5,-11.3,-19.3,-3.3
1904,-17.9,-23.5,-10.4,-3.3,7.5,14.3,16.6,15.3,6.9,0.9,-8.9,-21.2,-2
1905,-23,-16.3,-14.1,-6,3.4,9.3,16.8,13.4,8.8,-0.4,-10.9,-16.5,-3
1906,-27.3,-21.2,-8.2,-2.4,3.5,13.5,14.8,16.3,7.2,-1.3,-15.7,-15,-3
1907,-28.2,-17.2,-8,0,3,9.5,15.6,17.4,10.4,-4.3,-17.8,-27.1,-3.9
1908,-25.5,-16.7,-19,-3.3,6,11.1,14.8,15.4,7.8,-3.3,-14.3,-25.5,-4.4
1909,-25.5,-16.2,-15.6,-4.8,2.5,14.3,19.1,12.7,6.8,-0.9,-6.9,-17.3,-2.7
1910,-21,-14.6,-18.6,-6,4.8,11.7,17,13.9,8.3,-4.3,-16.8,-20.7,-3.9
1911,-21.2,-20.4,-20.4,-2,3,14.8,20.1,11.8,7,-1.4,-13.7,-18.9,-3.4
1912,-19.6,-25.8,-18.2,-2,5.5,11.5,16.2,9.3,6.8,-7.4,-13.6,-21.6,-4.9
1913,-25.6,-23.8,-9.7,-5.3,4.7,14.4,16.8,13.6,5.9,-2.6,-11.7,-8.8,-2.7
1914,-20.7,-19.9,-17.2,-6.5,5.5,10.8,12.5,16,7.1,-3.4,-13.1,-16.2,-3.8
1915,-27.4,-17.1,-14.5,-2.1,10.3,18.8,20,15.2,7.8,-4.7,-12.3,-25.1,-2.6
1916,-18.2,-17.6,-15.8,-7.1,1.3,14.6,14.5,12,9.4,-0.3,-13,-24.4,-3.7
1917,-19.5,-20.9,-14.6,-3.2,6.7,10,17.8,9.7,10,0.3,-9.9,-18.3,-2.7
1918,-17.2,-20,-14.9,-2.7,1.1,14.1,19.3,13.9,7.1,-1.8,-13.3,-22.5,-3.1
1919,-26.9,-21.9,-14.5,-3,3.3,10.9,16.7,15.4,7.5,-0.5,-14.7,-21.3,-4.1
1920,-21,-22.9,-7.1,-0.8,7.5,17.3,15.8,13.5,6.2,-7.6,-16.8,-22.9,-3.2
1921,-16,-20.7,-9.4,-2.4,2.8,18.5,20.4,12.1,7.1,0.2,-10.3,-20.2,-1.5
1922,-19.3,-27.8,-8.2,-4.2,6.3,17.1,19.4,14.4,7.3,-2.1,-11.3,-16.9,-2.1
1923,-18.3,-20.1,-15,-6.4,0.9,15.9,19.8,15.6,10.5,2.8,-14.1,-15,-2
1924,-22.9,-20.4,-9.7,0.7,7.5,10.5,19.7,12.9,7,-1.6,-6.4,-17.2,-1.7
1925,-16.4,-16.4,-15.4,-4.8,-0.1,13.3,15.2,14.3,8.3,0.8,-10.1,-18.9,-2.5
1926,-16.8,-21,-6.1,-2.2,-2.3,12.4,14.3,14.7,6.7,1.6,-13.4,-20.7,-2.7
1927,-27.5,-17.8,-17.3,-3.6,7.7,14.5,16,14.4,10.7,-1.7,-16.1,-26.2,-3.9
1928,-21.8,-17.9,-16.1,-4.5,3.9,13.5,19,15.9,8.8,-0.5,-14.4,-17.8,-2.7
1929,-27.8,-23.8,-11.9,-1,1.2,16.3,17.5,12.6,7.5,2.6,-8.4,-26.5,-3.5
1930,-17.5,-24.7,-13.6,-8.3,3.7,14.9,17.1,13.7,7.2,-2.2,-8,-20.6,-3.2
1931,-20.6,-23.1,-11.6,-4.1,2.9,14.6,16.8,16.7,9.1,1.5,-13.4,-19.6,-2.6
1932,-16,-16.5,-14.4,0.6,4.9,12.5,17.7,15.5,8.4,2.7,-14.8,-20.6,-1.7
1933,-21.1,-24.3,-14.8,-2.1,2.8,10.9,18.3,13.9,5.2,1.1,-14.9,-24.5,-4.1
1934,-15.6,-10.4,-13.6,-4.9,5,13.6,11.7,14.2,3.2,-0.1,-5.8,-18.9,-1.8
1935,-19.9,-11.1,-10.4,-5.3,5.7,15,16.7,13.3,6.5,-3,-13.6,-19.5,-2.1
1936,-20.4,-18.4,-16.1,-4,2.1,12,15.5,12.5,9.3,0.9,-8,-11.3,-2.2
1937,-17.4,-17.5,-17.5,-7.3,3.1,14.6,16.7,11.7,6.2,0.3,-11.1,-25.6,-3.7
1938,-23.4,-20.6,-11,1.6,7.7,14.7,16.2,13.5,6.9,-3.6,-7,-26,-2.6
1939,-21.6,-13.4,-11.5,0.6,4.9,15.6,16.3,11.2,4.9,-1,-10.5,-14.2,-1.6
1940,-30.2,-18.9,-12.3,0.6,2.1,13.5,16.9,15.8,9,-6.2,-8.7,-23.4,-3.5
1941,-26.3,-23.8,-14.7,-6.5,4.1,12.7,12.6,13.9,8.1,-0.8,-14.8,-20.6,-4.7
1942,-22.2,-18.4,-17.1,-3.4,4.3,15.5,18.4,13.5,8.1,-2,-9.1,-14,-2.2
1943,-24.4,-14.6,-11.9,2.4,9.1,12.9,17.1,15.2,9.7,-1,-10.5,-16.6,-1.1
1944,-15.2,-13.1,-9.1,0.8,5.4,14.1,16.7,13.7,7.9,1.2,-13.6,-13.4,-0.4
1945,-21.6,-22.7,-16,0.3,6.6,14.1,15.6,16.1,9.8,0.9,-17.2,-23.8,-3.2
1946,-19.4,-16.6,-14.9,-2.3,2.3,9.7,17.2,15,5.8,-2.2,-10.6,-22.9,-3.2
1947,-25,-23.3,-11.9,-0.3,5.5,11.8,14,14.2,7.7,3.5,-13.9,-19.1,-3.1
1948,-19.8,-18.3,-13.5,-2.6,4.8,12.2,17.7,12.6,9.7,1.6,-8.1,-24.2,-2.3
1949,-12,-18.7,-13.9,0.9,2.7,10.8,14.4,16.9,4.5,-1.1,-15.6,-25,-3
1950,-30.8,-17,-9.3,-1.6,5.7,14.1,17.6,15.5,9.8,0,-14.4,-14.4,-2.1
1951,-21.6,-29.8,-11.3,4.6,5.5,12.7,18.9,13.8,10.6,-0.6,-11.2,-14.2,-1.9
1952,-17.4,-17.5,-17.8,-6.8,4.5,13.5,18.2,13.4,10,-4.1,-23.3,-23.5,-4.2
1953,-19,-21.2,-13.6,2.2,6.4,13,19.2,15.8,8,-2.4,-21.7,-15.4,-2.4
1954,-22.4,-28.6,-12.2,-1.8,4.2,14.8,17.9,13.3,8.9,2,-13.4,-20.2,-3.1
1955,-14.2,-25.4,-17.1,-2.2,8.4,15.5,17.1,13.3,5.9,2.8,-9.6,-28.8,-2.9
1956,-20.1,-22.7,-11.8,-5.4,6.8,12.3,18.9,14.7,4.8,-1.9,-11.2,-18.2,-2.8
1957,-21.5,-17.7,-17.4,-5.2,5.6,15.4,18.5,16.4,11.4,-2.1,-17.6,-17.2,-2.6
1958,-18.4,-18,-19,-6.5,2.2,14.2,17.6,15,4.4,-0.5,-10,-24.7,-3.6
1959,-18.3,-21.2,-11.2,-6,4.3,14.4,17.3,13.5,8.7,-4.1,-13.8,-21.8,-3.2
1960,-26.1,-19.4,-21.4,-3.6,2.6,14.2,14.7,12.8,9.2,-4.2,-17.6,-18.4,-4.8
1961,-28.8,-16.3,-5.1,-0.9,5.4,12.8,19.2,14.1,6.4,-5.8,-12.8,-16.2,-2.3
1962,-13.6,-12.4,-9.6,-2.7,9.8,12.9,19.7,13,8.3,-2.7,-11.2,-17.2,-0.5
1963,-22.2,-14,-16,-5.4,3.5,13.9,17.8,14.1,6.9,-0.7,-11.4,-21.8,-2.9
1964,-23.6,-24.7,-19,-9.7,5.9,13.2,19.4,14.4,8.8,-2.8,-15,-16.6,-4.1
1965,-22.1,-21.8,-7.8,-5.3,5.6,12.9,18.7,12.8,7.2,-0.5,-12,-18.2,-2.5
1966,-20.5,-29.4,-14.8,-5.6,5.1,11.4,13.5,14,11.1,-4.8,-13.2,-24.9,-4.8
1967,-21.2,-19.8,-7.1,2.7,6.2,14,20.4,13.8,6.3,3.5,-7.1,-12.7,-0.1
1968,-23.7,-15,-5.7,-3.9,6.9,9.8,17.6,14.2,5,-2.5,-24.3,-30.5,-4.3
1969,-31.8,-29,-13.6,-4.6,5,11.5,20.2,11.1,6.7,-4,-7,-18.9,-4.5
1970,-25.3,-18.3,-9.9,-3.5,1.1,9.9,16,11,11,-3.4,-12.8,-19.5,-3.6
1971,-19.2,-25.9,-13.6,-5.4,4,12.6,16.9,14.5,9.1,-0.5,-5.5,-15.3,-2.4
1972,-30.6,-19.2,-15.2,0.9,2.4,12,15.3,13,4,-0.2,-13.8,-19.7,-4.3
1973,-26.3,-16.9,-10.5,-1.7,5.8,14.2,15.8,16.2,5.5,-1,-7.5,-13.3,-1.6
1974,-26.8,-24.9,-11.3,-1.7,4.4,12.4,19.4,14,8.2,-6.7,-20,-15.4,-4
1975,-16.8,-13,-8.5,-1.6,3.3,12.1,14.8,12.1,9.7,-2.6,-14.3,-18.4,-1.9
1976,-16.7,-23.7,-12.6,-0.2,4.9,15.9,17.4,15.9,8,-8,-10.9,-17.4,-2.3
1977,-26.1,-26.7,-11,1.4,9.1,16.3,18.1,12.8,8.2,-6.9,-5,-19,-2.4
1978,-16.8,-18,-8.2,-4.9,1.9,13.2,16.3,11.3,8,0,-7.7,-22.3,-2.3
1979,-26.3,-22,-11.4,-7,4.8,11.6,19.5,14.4,9.8,-2.7,-9.3,-16.8,-3
1980,-23,-23,-12.6,-3.5,5.4,13.7,15.6,11.7,8.6,1.2,-11,-12.9,-2.5
1981,-13.8,-15.7,-12.1,-1.2,2.9,15.5,16,18.9,7.5,1.1,-9.9,-11.4,-0.2
1982,-22.6,-21,-16.1,0.9,8.5,16.7,17.4,13.2,7.8,-5.2,-7.4,-10.9,-1.6
1983,-14.1,-13.6,-8.4,-4.5,-0.5,18.7,18.7,13.7,6.6,2.6,-7.8,-12.6,-0.1
1984,-13.1,-16.3,-7.6,-11,3.8,14.5,17.5,15.2,7.8,999.9,999.9,999.9,999.9
1985,999.9,-23.1,-8.6,-1.9,2.7,13.7,16.3,14.2,9.9,-0.2,-14.7,-19.9,999.9
1986,-20.5,-20.7,-8.2,-2.1,2.2,11,16.9,12.8,5.3,0.3,-4.9,-26.4,-2.9
1987,-24.5,-17.9,-9.7,-3.8,9,10.4,19.3,14.8,7.4,-0.9,-16.7,-18.6,-2.6
1988,-16.3,-20,-6.3,-3.5,4.4,12.4,20,15.7,8.6,-0.2,-8.9,-12.1,-0.5
1989,-23,-16.1,-3.5,-6.9,6.5,14.9,21.1,14.6,7.3,-0.9,-9,-18,-1.1
1990,-25.6,-16.7,-7.4,-0.3,4.8,15.4,20.4,15.5,6.5,-2.7,-14.3,-18.3,-1.9
1991,-15.6,-18.8,-16.8,3.5,9.5,18.4,19.7,12.6,10.6,1.2,-9.5,-22,-0.6
1992,-19.7,-14.3,-10.4,-11,6.5,8.1,17,14.4,4.4,-1.4,-14.5,-15.4,-3
1993,-13.7,-17,-8.2,-1.7,3.9,16.9,20.2,14.9,6.7,-1,-15.5,-17.7,-1
1994,-18.1,-25.4,-9.1,-1.1,6.5,17.1,17.8,11.9,7.4,2.8,-13.9,-20.6,-2.1
1995,-13.5,-7.1,-6.6,6.2,8.4,10.5,19.5,15.6,8.3,-1.2,-10.1,-18.4,1
1996,-22.6,-17.4,-8.9,-6.6,4.3,14.6,20.1,11,3.5,-1.5,-7,-17.4,-2.3
1997,-25.9,-18.6,999.9,5.1,7.8,11.2,13.4,12.8,9.1,3.3,-14,-24.8,999.9
1998,-19.1,-22,-8.7,-7.3,4.1,13.7,21.2,16.5,5.1,-5,-24.3,-16.7,-3.5
1999,-24.9,-12.2,-18.9,-5.6,7.5,10.8,18.1,13.3,6.2,1.4,-15,-11.4,-2.6
2000,-24.3,-15.4,-5.8,0.3,8.9,17.4,16.6,15,7,-0.9,-13.1,-23.7,-1.5
2001,-27.3,-21.6,-8.9,-0.6,8.9,15,15.5,16.1,8.6,-2.3,-9.5,-16.2,-1.9
2002,-17.9,-11.3,-8.5,-4,6.9,15.1,16.9,12,6,-0.6,-12.4,-24.3,-1.8
2003,-17.6,-19.9,-10.4,-3,8.9,17.1,16.9,18.7,8.4,1.6,-16,-12,-0.6
2004,-17.6,-16,-14.1,-8.9,8.7,16.5,18.3,11.9,6,-2.6,-6.1,-23.6,-2.3
2005,-16.6,-19.8,-8.6,-2.2,9.2,15.8,19.6,14.2,9.9,3,-5.8,-16.3,0.2
2006,-33.6,-18,-8.1,-9,4.2,17.7,17.5,12.3,9.1,-2.5,-13.7,-12.8,-3.1
2007,-10.1,-25.7,-8,4.1,3.7,12.4,21.2,14.1,7.7,2.3,-8.6,-15.5,-0.2
2008,-17.8,-13.1,-6.3,-5.8,6.2,12.2,18.6,14,7.2,0.7,-6.9,-13.8,-0.4
2009,-21.3,-24.3,-8.6,-0.2,4.7,13.2,17.6,16.1,10.6,0.5,-13.1,-27.6,-2.7
2010,-28.2,-26.5,-9.5,-0.9,3.6,13.4,15.6,13.8,6.1,3.3,-9.2,-22.8,-3.4
2011,-20.2,-19.4,-6.9,3.4,8,18.4,14.8,12.4,11.3,3.1,-13.3,-13.4,-0.2
2012,-19.7,-15.9,-8.1,2.1,8.6,21.5,20.6,14,10.2,-0.2,-14.3,-21.3,-0.2
2013,-23.5,-16.2,-15.8,-0.2,3.4,12.7,21,15.7,7.5,-1.2,-3.5,-11.4,-1
2014,-22.5,-23.9,-5.1,-0.5,6.2,14.2,15.5,15.1,5.8,-4.7,-12.9,-13.2,-2.2
2015,-19.7,-12,-7,1.9,10.5,18.9,16.2,12.5,7,-2.7,-12.7,-15,-0.2
2016,-20.1,-7.6,-7.7,3.3,7.7,18.1,20,18.3,11.5,-1.7,-19.4,-23.6,-0.1
2017,-21.9,-16.7,-2.9,-0.3,4.2,17,17.8,15.6,5.8,-0.2,-7.8,-11.1,0
2018,-18.3,-18.3,-11.4,-2.4,1.3,15.7,19,13.4,10.4,2.8,-13.7,-16.8,-1.5
2019,-17.8,-19.2,-3,-2.8,6.5,13,20.4,15.7,999.9,999.9,999.9,999.9,999.9
